2022/11/26 21:38:35 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:36 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:37 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:38 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:40 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:41 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:42 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:43 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:45 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:46 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:47 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:49 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:50 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:51 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:53 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:54 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:55 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:56 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:58 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:38:59 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
2022/11/26 21:39:00 INFO - [MqttManager.py : 89] Successfully connected to MQTT broker
